sptno,sptto,year,totamt,otsramt,gsumtrlct,stlct,cntrdt,stwrdt,ccwdt,gongi
C2001027,3,년,6500000000,5423000000,1077000000,0,,,,
C2001027,2,년,9279000000,5060000000,440000000,3779000000,,,,
C2001027,1,년,1713000000,1028000000,685000000,0,,,,
C2001027,0,전체,24162000000,15390000000,2720000000,6052000000,2001-04-20,2001-05-03,2004-12-23,1329.0
C2012035,6,2016년,5286000000,2195973000,3090027000,0,2016-02-05,2016-02-15,2016-12-31,319.0
C2012035,5,2015년,4266540000,2377430000,1889110000,0,2015-02-05,2015-02-09,2015-12-08,301.0
C2012035,4,2015년,5619000000,2824080000,1675920000,1119000000,2014-02-18,2014-02-25,2015-01-20,328.0
C2012035,3,2014년,4324000000,2691438000,32562000,1600000000,2013-04-11,2013-04-10,2014-01-04,268.0
C2012035,2,2013년,4373000000,2569753000,3247000,1800000000,2012-05-14,2012-05-17,2013-03-12,298.0
C2012035,1,2012년,10000000,10000000,0,0,2012-02-22,2012-03-05,2012-04-03,28.0
C2012035,0,전체,23358500000,12940110000,7887590000,2530800000,2012-02-22,2012-03-05,2017-02-06,1798.0
C2012060,5,2017년,3895000000,3274000000,621000000,0,2016-02-15,2016-02-15,2017-04-09,418.0
C2012060,4,2016년,4321000000,531120000,3668880000,121000000,2015-02-05,2015-02-09,2016-01-04,328.0
C2012060,3,2015년,3385000000,2164280000,642720000,578000000,2014-02-18,2014-02-25,2015-01-20,328.0
C2012060,2,2014년,5000000000,3319700000,680300000,1000000000,2013-04-10,2013-04-10,2014-01-04,268.0
C2012060,1,2013년,911000000,250000000,10000000,651000000,2012-08-01,2012-08-07,2012-12-31,145.0
C2012060,0,전체,21318800000,12138250000,5180550000,4000000000,2012-08-01,2012-08-07,2017-07-11,1798.0
C2021023,2,2023년,5311444240,4824844240,486600000,0,2022-02-07,2022-02-10,2023-03-04,386.0
