ofccd,ofcnm,rutcd,rutnm,fctkdcd,fctkdnm,fctcfcd,fctcfnm,fcno,fctnm,sectnm,lctnm,ccwdt,cstcmpnm,cwknm
12,의정부국토관리사무소,12037,일반국도37호선,3,지하차도,0,기타,3D46F4E4B70147f7AB0D0BBAD70A6A28,우암지하차도,창수~청산,경기도 연천군 청산면 백의리,1999-10-01,,
52,진주국토관리사무소,52020,일반국도20호선,1,교량,0,기타,E673B6426B5F1C52E034080020A9316A,배양교,산청 단성면계~산청 신안면계,경상남도 산청군 단성면 사월리,1999-10-01,영신사,
52,진주국토관리사무소,52002,일반국도2호선,1,교량,0,기타,E673B64273951C52E034080020A9316A,미동교,사천 곤명면계~진주 내동면계,경상남도 진주시 내동면 내평리,1999-10-01,영신사,
52,진주국토관리사무소,52002,일반국도2호선,1,교량,3,3종,E673B64273931C52E034080020A9316A,배양교,사천 곤명면계~진주 내동면계,경상남도 진주시 내동면 삼계리,1999-10-01,영신사,
53,포항국토관리사무소,53031,일반국도31호선,1,교량,0,기타,E673B6426AB91C52E034080020A9316A,병포2육교,구룡포~동해,경상북도 포항시 남구 구룡포읍 병포리,1999-10-01,현대건설(주),구룡포-포항간 도로4차선 확포장공사
43,남원국토관리사무소,43024,일반국도24호선,1,교량,0,기타,EFE3B42F126C0191E0340003BA2D2647,백산1교,전남도계~순창,전라북도 순창군 순창읍 백산리,1999-09-30,,
53,포항국토관리사무소,53007,일반국도7호선,1,교량,3,3종,E673B64275CC1C52E034080020A9316A,원직교,강구~영덕,경상북도 영덕군 강구면 소월리,1999-09-30,우신건설(주),강구-영덕간 4차로 확장공사
54,영주국토관리사무소,54034,일반국도34호선,1,교량,3,3종,E673B64273E11C52E034080020A9316A,대심과선교,예천~호명,경상북도 예천군 예천읍 지내리,1999-09-01,대림산업,
52,진주국토관리사무소,52020,일반국도20호선,1,교량,0,기타,E673B64272811C52E034080020A9316A,추산교,의령 대의면계~의령 가례면계,경상남도 의령군 대의면 추산리,1999-09-01,(주)정우건설,
54,영주국토관리사무소,54034,일반국도34호선,1,교량,3,3종,E673B64273E01C52E034080020A9316A,지내육교,예천~호명,경상북도 예천군 예천읍 지내리,1999-09-01,대림산업,
54,영주국토관리사무소,54034,일반국도34호선,1,교량,3,3종,E673B64273E61C52E034080020A9316A,청복육교,예천~호명,경상북도 예천군 예천읍 청복리,1999-09-01,대림산업,
54,영주국토관리사무소,54034,일반국도34호선,1,교량,0,기타,E673B64273E41C52E034080020A9316A,왕신교,예천~호명,경상북도 예천군 예천읍 왕신리,1999-09-01,대림산업,
54,영주국토관리사무소,54034,일반국도34호선,1,교량,0,기타,E673B64273E51C52E034080020A9316A,방아실교,예천~호명,경상북도 예천군 예천읍 왕신리,1999-09-01,대림산업,
54,영주국토관리사무소,54034,일반국도34호선,1,교량,3,3종,E673B64273E21C52E034080020A9316A,서정자교,예천~호명,경상북도 예천군 예천읍 대심리,1999-09-01,대림산업,
52,진주국토관리사무소,52020,일반국도20호선,1,교량,0,기타,E673B642717F1C52E034080020A9316A,대의1교,산청 생비량면계~의령 대의면계,경상남도 의령군 대의면 추산리,1999-09-01,(주)정우건설,
54,영주국토관리사무소,54034,일반국도34호선,1,교량,2,2종,E673B64273E31C52E034080020A9316A,신대왕교,예천~호명,경상북도 예천군 예천읍 대심리,1999-09-01,대림산업,
21,홍천국토관리사무소,21005,일반국도5호선,1,교량,1,1종,E673B64272D01C52E034080020A9316A,오월교,용산~서,강원도 춘천시 서면 오월리,1999-08-08,흥화공업(주),국도5호선 오월교 및 오탄교 개축공사
21,홍천국토관리사무소,21005,일반국도5호선,1,교량,2,2종,E673B64272D11C52E034080020A9316A,오탄교,서~사북,강원도 화천군 하남면 서오지리,1999-08-08,흥화공업(주),국도5호선 오월교 및 오탄교 가설공사
55,진영국토관리사무소,55020,일반국도20호선,1,교량,1,1종,E673B642728F1C52E034080020A9316A,청도대교,청도 청도~청도 청도,경상북도 청도군 청도읍 고수리,1999-08-01,"보성건설(주),(주)유성건설",청도교 및 우회도로 축조공사
51,대구국토관리사무소,51005,일반국도5호선,1,교량,2,2종,E673B64272991C52E034080020A9316A,평촌교(5),구지~현풍,대구광역시 달성군 구지면 가천리,1999-07-30,영풍산업(주),구지~유가간도로4차선 확장및포장공사
12,의정부국토관리사무소,12003,일반국도3호선,1,교량,3,3종,960C515550E7448292EC57E26B4F66B3,신탄교(확),연천~신서,경기도 연천군 신서면 대광리,1999-07-20,,
42,전주국토관리사무소,42023,일반국도23호선,1,교량,3,3종,EFE3B42F11BD0191E0340003BA2D2647,선동교,전남도계~고창군계,전라북도 고창군 성송면 계당리,1999-07-01,대교종합건설(주),성송우회 도로건설공사
53,포항국토관리사무소,53031,일반국도31호선,1,교량,3,3종,E673B64272851C52E034080020A9316A,송강교,파천~진보,경상북도 청송군 파천면 신기리,1999-06-16,극동건설(주),미상
42,전주국토관리사무소,42001,일반국도1호선,1,교량,3,3종,EFE3B42F115A0191E0340003BA2D2647,금마육교,완주 삼례~충남도계,전라북도 익산시 금마면 동고도리,1999-06-15,동양종합건설(주),금구-전주 도로건설공사
42,전주국토관리사무소,42001,일반국도1호선,1,교량,3,3종,EFE3B42F11590191E0340003BA2D2647,천마육교,완주 삼례~충남도계,전라북도 익산시 금마면 동고도리,1999-06-15,동양종합건설(주),금마우회 도로건설공사
52,진주국토관리사무소,52020,일반국도20호선,1,교량,0,기타,E673B642727F1C52E034080020A9316A,도산교,의령 대의면계~의령 가례면계,경상남도 의령군 칠곡면 도산리,1999-06-01,아신건설,
52,진주국토관리사무소,52020,일반국도20호선,1,교량,3,3종,E673B642727E1C52E034080020A9316A,신포교,의령 대의면계~의령 가례면계,경상남도 의령군 칠곡면 신포리,1999-06-01,아신건설,
34,예산국토관리사무소,34032,일반국도32호선,1,교량,3,3종,D72CECC8B81E4139B92CAA1D0A68C35B,화수교,만리포~서산통합시,충청남도 서산시 인지면 화수리,1999-06-01,한진중공업,태안 - 서산간 도로확장공사
34,예산국토관리사무소,34032,일반국도32호선,1,교량,3,3종,778C7B14528B4B63A874562326BA82E3,풍전교,만리포~서산통합시,충청남도 서산시 예천동,1999-06-01,한진중공업,태안 - 서산간 도로확장공사
34,예산국토관리사무소,34029,일반국도29호선,1,교량,3,3종,E1A29D5FBB19444888E1065BB5E47A8E,상촌교,홍성~해미,충청남도 홍성군 갈산면 상촌리,1999-05-01,엘지건설(주),홍성 - 갈산간 도로확장 공사
11,수원국토관리사무소,11037,일반국도37호선,1,교량,3,3종,E673B64272BB1C52E034080020A9316A,초현교,여주 대신~여주 대신,,1999-05-01,(주)다원건설,
11,수원국토관리사무소,11037,일반국도37호선,1,교량,3,3종,E673B64272BA1C52E034080020A9316A,후포교,여주 대신~여주 대신,,1999-05-01,(주)다원건설,
52,진주국토관리사무소,52003,일반국도3호선,1,교량,0,기타,E673B64272B81C52E034080020A9316A,창선천교,남해 창선면계~사천시계,경상남도 남해군 창선면 상죽리,1999-04-30,진우건설(주),
